template,proportion
The [X] added a stone that [Y],1
The [X] recorded everything [Y],1
The [X] leaved no instructions that [Y],1
The [X] recommended spirituality and [Y],1
The [X] published Psychology and [Y],1
The [X] had Jewish and [Y],1
The [X] agreed the determinant that [Y],1
The [X] differed from Freud that [Y],1
The [X] was a lecturer and [Y],1
The [X] began study brainwashing [Y],1
The [X] stated at deposition that [Y],1
The [X] responded to criticism that [Y],1
The [X] was at vigil that [Y],1
The [X] opened one [Y],1
The [X] was headliners and [Y],1
The [X] remarked the form that [Y],1
The [X] worked with him that [Y],1
The [X] walked off set that [Y],1
The [X] was disappointed and [Y],1
The [X] was 10th [Y],1
The [X] was a Republican though [Y],1
The [X] was an Democrat and [Y],1
The [X] competed in sport that [Y],1
The [X] travelled to Saumur that [Y],1
The [X] slapped Kuhl after [Y],1
The [X] vetoed it since [Y],1
The [X] reported this attempt that [Y],1
The [X] began from gash that bleeding [Y],1
The [X] was a fatalist and [Y],1
The [X] was incredulous [Y],1
The [X] returned to Mooresville that [Y],1
The [X] helped a plan that [Y],1
The [X] drifted into Chicago that [Y],1
The [X] found in metropolis that [Y],1
The [X] told agents that [Y],1
The [X] revealed time that [Y],1
The [X] returned suspicious so [Y],1
The [X] met sick and [Y],1
The [X] decided a version that [Y],1
The [X] refused to testify although [Y],1
The [X] was conscious but [Y],1
The [X] witnessed the accident that [Y],1
The [X] murdered Scalise after [Y],1
The [X] was a gunner and [Y],1
The [X] appeared the party that [Y],1
The [X] met Brooks and [Y],1
The [X] steamed through Michigan that [Y],1
The [X] was ended and [Y],1
The [X] introduced a constitution that [Y],1
The [X] damtewed after [Y],1
The [X] recalled reception that [Y],1
The [X] invented the clock that [Y],1
The [X] designed a telescope that [Y],1
The [X] worked on machine that [Y],1
The [X] concluded wrong that [Y],1
The [X] used observations [Y],1
The [X] urged academics [Y],1
The [X] described Rastas and [Y],1
The [X] leaved Tübingen and [Y],1
The [X] published the theses that [Y],1
The [X] was esteemed [Y],1
The [X] was at Colloquy that [Y],1
The [X] tended the admiration that [Y],1
The [X] had the ring that [Y],1
The [X] pointed the scene that [Y],1
The [X] asked Hugo if [Y],1
The [X] offered the apartment that [Y],1
The [X] had flashbacks [Y],1
The [X] harborred hopes [Y],1
The [X] mistook a joint that [Y],1
The [X] bought tickets so [Y],1
The [X] drew praise [Y],1
The [X] observed similarities and [Y],1
The [X] noticed these habits that [Y],1
The [X] remembered a disagreement that [Y],1
The [X] had the knack that [Y],1
The [X] became charioteer that [Y],1
The [X] was adopted and [Y],1
The [X] flew missions and [Y],1
The [X] married Adams [Y],1
The [X] showed interest or [Y],1
The [X] supported the President after [Y],1
The [X] returned to practice that [Y],1
The [X] served as leader that [Y],1
The [X] societied the way but [Y],1
The [X] threatened the doctor that [Y],1
The [X] had difficulties and [Y],1
The [X] brought pressure that [Y],1
The [X] lost the majority that [Y],1
The [X] visited the guest before [Y],1
The [X] surprised the Minister that [Y],1
The [X] managed to reach though [Y],1
The [X] repeated this feat that [Y],1
The [X] rescued climbers while [Y],1
The [X] ended Wang that [Y],1
The [X] was the athlete [Y],1
The [X] became the medallist and [Y],1
The [X] lettered a job that [Y],1
The [X] took a course that [Y],1
The [X] was a Game but [Y],1
The [X] said some him that [Y],1
The [X] suffered strokes and [Y],1
The [X] was awarded the Trophy that [Y],1
The [X] visited the syndicate that [Y],1
The [X] threw barbs [Y],1
The [X] resisted republication as [Y],1
The [X] minded taking requests [Y],1
The [X] was up house that [Y],1
The [X] said unto him that [Y],1
The [X] was visited [Y],1
The [X] brought the outbreak that [Y],1
The [X] wanted the Winnie as [Y],1
The [X] flirted a kiss that [Y],1
The [X] got the punch that [Y],1
The [X] stopped goodbye as [Y],1
The [X] took care but [Y],1
The [X] claimed of device that to conceived [Y],1
The [X] was 24 [Y],1
The [X] supported International and [Y],1
The [X] made notes [Y],1
The [X] agreed supply motors and [Y],1
The [X] supported campaigns that [Y],1
The [X] ruled proper that [Y],1
The [X] suffered attacks and [Y],1
The [X] regarded those ways that [Y],1
The [X] backed Maggio that [Y],1
The [X] picked a fight that [Y],1
The [X] scaped from stockade that [Y],1
The [X] struck a romance that [Y],1
The [X] wanted Ferrer but [Y],1
The [X] became impressed [Y],1
The [X] directed a number that [Y],1
The [X] travelled to countries that [Y],1
The [X] ran for councillor that [Y],1
The [X] chose a item that [Y],1
The [X] won the UNESCO that [Y],1
The [X] journeyed the disappearance that [Y],1
The [X] was in talks that [Y],1
The [X] became the face as [Y],1
The [X] intended to Congo that to return [Y],1
The [X] had an idea that [Y],1
The [X] educatorred apply what [Y],1
The [X] added this what that [Y],1
The [X] held a job that [Y],1
The [X] was alternate but [Y],1
The [X] lifed on ships that [Y],1
The [X] went enemies but [Y],1
The [X] liked the critic that [Y],1
The [X] was motivated but [Y],1
The [X] resented the control that [Y],1
The [X] began receiving roles [Y],1
The [X] described the studio that [Y],1
The [X] cast the girl as [Y],1
The [X] gave performance [Y],1
The [X] explained for Fair that [Y],1
The [X] was 18 [Y],1
The [X] met him while [Y],1
The [X] sent interesting [Y],1
The [X] was Emeritus & [Y],1
The [X] turned to works that [Y],1
The [X] said from rest that [Y],1
The [X] emerged the which that [Y],1
The [X] informed O'Dowd [Y],1
The [X] ran an whom that [Y],1
The [X] presided over decades that [Y],1
The [X] rearrested in 1938 that [Y],1
The [X] convinced in clubs that [Y],1
The [X] loathed the traits that [Y],1
The [X] refuted what [Y],1
The [X] entered controversies as [Y],1
The [X] asked him as [Y],1
The [X] began the publication that [Y],1
The [X] wrote the right as [Y],1
The [X] carried a whip that [Y],1
The [X] arranged the theme that [Y],1
The [X] called the thing that [Y],1
The [X] showed Carmela [Y],1
The [X] scratched the ground that [Y],1
The [X] took the number that [Y],1
The [X] had men but [Y],1
The [X] had a disagreement that [Y],1
The [X] gained control though [Y],1
The [X] executed exiles [Y],1
The [X] made of Comintern that [Y],1
The [X] stayed as Minister that [Y],1
The [X] made what role that [Y],1
The [X] wanted a role that [Y],1
The [X] was partway and [Y],1
The [X] suggested in Kiev that [Y],1
The [X] was on Front that [Y],1
The [X] sought reconstruct Ukraine though [Y],1
The [X] was reluctant once [Y],1
The [X] cited the work that [Y],1
The [X] acknowledged this heritage that [Y],1
The [X] questioned the accuracy that [Y],1
The [X] instrumented and [Y],1
The [X] was quantified or [Y],1
The [X] enjoyed The much that [Y],1
The [X] wrote time until [Y],1
The [X] became a recluse though [Y],1
The [X] arrived in Vilnius that [Y],1
The [X] had control [Y],1
The [X] became a knight and [Y],1
The [X] promised the reward that [Y],1
The [X] apologised her since [Y],1
The [X] published Grace [Y],1
The [X] had a mitzvah that [Y],1
The [X] was an daughter [Y],1
The [X] remarked the which that [Y],1
The [X] made appearances while [Y],1
The [X] narrated the audiobook that [Y],1
The [X] appeared bottles and [Y],1
The [X] began Falchuk [Y],1
The [X] sued Paltrow that [Y],1
The [X] praised the singles that [Y],1
The [X] received the Love for [Y],1
The [X] said you [Y],1
The [X] lauded the record that [Y],1
The [X] disputed this claim that [Y],1
The [X] declined this invitation that [Y],1
The [X] remembered Roger that [Y],1
The [X] received a nomination that [Y],1
The [X] plotted a war that [Y],1
The [X] started attending meetings [Y],1
The [X] ran from Gibault that [Y],1
The [X] found a box that [Y],1
The [X] was a thief and [Y],1
The [X] married Manson [Y],1
The [X] was evidence that [Y],1
The [X] suffered from bleeding that [Y],1
The [X] reported the him that [Y],1
The [X] visited the office that [Y],1
The [X] gained one and [Y],1
The [X] said in which that [Y],1
The [X] told audiences [Y],1
The [X] believed in way that [Y],1
The [X] responded the who that [Y],1
The [X] travelled the office that [Y],1
The [X] said traction that [Y],1
The [X] backed efforts that [Y],1
The [X] pledged do all [Y],1
The [X] stated out War that [Y],1
The [X] began driving as [Y],1
The [X] employmented as attorney that [Y],1
The [X] joined a opinion that [Y],1
The [X] stated during deliberations that [Y],1
The [X] used a test that [Y],1
The [X] urged the creation that [Y],1
The [X] launched Courts [Y],1
The [X] wanted this book that [Y],1
The [X] straued whom [Y],1
The [X] submitted the piece that [Y],1
The [X] painted canvases and [Y],1
The [X] leaved a legacy that [Y],1
The [X] installed an pond that [Y],1
The [X] stated a many that [Y],1
The [X] claimed to China that to crossed [Y],1
The [X] lasted with measurement that [Y],1
The [X] hated the hope and [Y],1
The [X] pronounced of engine that [Y],1
The [X] studied the problem that [Y],1
The [X] told Whittle that [Y],1
The [X] won awards [Y],1
The [X] engineered with whom that [Y],1
The [X] announced the Day that [Y],1
The [X] asked for war that [Y],1
The [X] assembled an team that [Y],1
The [X] returned to State that [Y],1
The [X] worked as actress that [Y],1
The [X] read the home that [Y],1
The [X] invited a Mosgrave that [Y],1
The [X] confessed to Robert that [Y],1
The [X] was overjoyed and [Y],1
The [X] claimed as replications that [Y],1
The [X] was Catholic and [Y],1
The [X] made in writing that [Y],1
The [X] regretted the fact that [Y],1
The [X] had a gift that [Y],1
The [X] disliked the men that [Y],1
The [X] was essential if [Y],1
The [X] started any allies that [Y],1
The [X] discouraged them [Y],1
The [X] had decide who [Y],1
The [X] said to year that would truncated [Y],1
The [X] enjoyed the version that [Y],1
The [X] knew to Kwae that [Y],1
The [X] sent Runciman if [Y],1
The [X] expressed sadness that [Y],1
The [X] reported on situation that [Y],1
The [X] rushed Stanley though [Y],1
The [X] had hope that [Y],1
The [X] confessed to Mitch that [Y],1
The [X] repeated gossip that [Y],1
The [X] erupted Mitch after [Y],1
The [X] screamed fire and [Y],1
The [X] remained with Stanley that [Y],1
The [X] noted some [Y],1
The [X] kissed the ground that [Y],1
The [X] felt shy as [Y],1
The [X] made films and [Y],1
The [X] strove for realism that [Y],1
The [X] explained to director that [Y],1
The [X] was an actor and [Y],1
The [X] testified the party that [Y],1
The [X] prepared a test but [Y],1
The [X] returned to Provo that [Y],1
The [X] attended use and [Y],1
The [X] offered buy patents that [Y],1
The [X] lost claims but [Y],1
The [X] received royalties but [Y],1
The [X] appeared a Square that [Y],1
The [X] disappointed the crowd that [Y],1
The [X] was the inventor while [Y],1
The [X] remarked in Suva that [Y],1
The [X] confronted the vampires that [Y],1
The [X] showed some knowledge that [Y],1
The [X] composed a series that [Y],1
The [X] drank the beer that [Y],1
The [X] lived with Chaney that [Y],1
The [X] made to Bessie that [Y],1
The [X] was kind that [Y],1
The [X] suffered from failure that [Y],1
The [X] warned Marty that [Y],1
The [X] believed comedic that [Y],1
The [X] won the part that [Y],1
The [X] recalled after night that [Y],1
The [X] cut the sequence that [Y],1
The [X] championed Ride that [Y],1
The [X] reflected the both that [Y],1
The [X] said the disaster that [Y],1
The [X] recalled the Who that [Y],1
The [X] told Q that [Y],1
The [X] was disgusted that [Y],1
The [X] wrote a set that [Y],1
The [X] omitted this passage that [Y],1
The [X] was at Yahoos that [Y],1
The [X] wrote of period that [Y],1
The [X] wore a version that [Y],1
The [X] amused after [Y],1
The [X] came routines that [Y],1
The [X] stated The Keaton [Y],1
The [X] found satisfied that [Y],1
The [X] travelled a cough that [Y],1
The [X] began at Bank that working [Y],1
The [X] followed and [Y],1
The [X] holed in hotel that [Y],1
The [X] had stories while [Y],1
The [X] expected conquest since [Y],1
The [X] tried save Louise but [Y],1
The [X] felt guilt once [Y],1
The [X] scaped warn Angelica before [Y],1
The [X] started college and [Y],1
The [X] appeared recognize identity [Y],1
The [X] was a energy [Y],1
The [X] was immune but [Y],1
The [X] showed Liz so [Y],1
The [X] began a succession that [Y],1
The [X] mocked the idea that [Y],1
The [X] met Greenburg and [Y],1
The [X] began playing baseball [Y],1
The [X] agreed the assurances that [Y],1
The [X] joined the Astros that [Y],1
The [X] womaned in regard that [Y],1
The [X] was religious nor [Y],1
The [X] was quick that [Y],1
The [X] launched the Society that [Y],1
The [X] stood shelter while [Y],1
The [X] handled a rifle that [Y],1
The [X] was ideal because [Y],1
The [X] starred as Winstone that [Y],1
The [X] told Variety that [Y],1
The [X] directed the movie that [Y],1
The [X] found on whiskers that [Y],1
The [X] opened eyes and [Y],1
The [X] earned the position that [Y],1
The [X] gave lectures and [Y],1
The [X] declined in series that to participate [Y],1
The [X] met Jr. [Y],1
The [X] apologized in Sofia that [Y],1
The [X] decided to stay [Y],1
The [X] confessed to Samuel that [Y],1
The [X] wrote a description that [Y],1
The [X] told Oberon that [Y],1
The [X] instructed Puck that [Y],1
The [X] sent Puck while [Y],1
The [X] thought inspiration that [Y],1
The [X] lacked in obedience that [Y],1
The [X] discovered moons [Y],1
The [X] told Rodger [Y],1
The [X] joined Aberdeen before [Y],1
The [X] took the blame that [Y],1
The [X] was the winner [Y],1
The [X] assaulted a supporter that [Y],1
The [X] told Ferguson [Y],1
The [X] led United after [Y],1
The [X] liked the move that [Y],1
The [X] thought for United that [Y],1
The [X] received punishments and [Y],1
The [X] followed Ctesias [Y],1
The [X] worked for time that [Y],1
The [X] gained an excuse that [Y],1
The [X] wished to make and [Y],1
The [X] foreignerred which [Y],1
The [X] claimed the removal that [Y],1
The [X] wrote the Minister that [Y],1
The [X] died in hours that [Y],1
The [X] understood as monarch that [Y],1
The [X] remained the which that [Y],1
The [X] became a director and [Y],1
The [X] championed composers [Y],1
The [X] conducted at gala that [Y],1
The [X] performed a repertoire that [Y],1
The [X] moved to Sydney that [Y],1
The [X] returned to Melbourne that [Y],1
The [X] moved to Brisbane that [Y],1
The [X] disbanded the group that [Y],1
The [X] felt While [Y],1
The [X] found to write but [Y],1
The [X] informed the men that [Y],1
The [X] was wealthier and [Y],1
The [X] lost the role that [Y],1
The [X] stepped into film that [Y],1
The [X] won custody [Y],1
The [X] decided in 1950 that [Y],1
The [X] appeared roles and [Y],1
The [X] appeared in range that [Y],1
The [X] planned the theatre that [Y],1
The [X] felt perfect but [Y],1
The [X] saw the script that [Y],1
The [X] was a actress but [Y],1
The [X] chose the rights that [Y],1
The [X] reunited with Tracy that [Y],1
The [X] hopped to prove that [Y],1
The [X] was written and [Y],1
The [X] read in preparation that [Y],1
The [X] admitted before show that [Y],1
The [X] was a singer as [Y],1
The [X] claimed the reason that [Y],1
The [X] returned to screens that [Y],1
The [X] distanced herself [Y],1
The [X] believed a one that [Y],1
The [X] released a biography that [Y],1
The [X] discovered any evidence that [Y],1
The [X] liked the text that [Y],1
The [X] saw Hepburn as [Y],1
The [X] was beautiful but [Y],1
The [X] extended to fashion that [Y],1
The [X] depicted subjects and [Y],1
The [X] was amongst items that [Y],1
The [X] followed the Masters that [Y],1
The [X] began exploring styles [Y],1
The [X] wrote to cutter that [Y],1
The [X] travelled to Obuse that [Y],1
The [X] began collecting taxes [Y],1
The [X] withdrew the that that [Y],1
The [X] received praise and [Y],1
The [X] dropped the reference that [Y],1
The [X] received unremarkable that [Y],1
The [X] fumed at lack that [Y],1
The [X] received percent [Y],1
The [X] revisited the genre that [Y],1
The [X] won the suit that [Y],1
The [X] was an audiophile and [Y],1
The [X] told Eastwood that [Y],1
The [X] remained the manager [Y],1
The [X] shortened points as [Y],1
The [X] referred to trebuchet that [Y],1
The [X] suggested the son that [Y],1
The [X] was weak because [Y],1
The [X] continued to recall [Y],1
The [X] banked a Declaration that [Y],1
The [X] made an bid that [Y],1
The [X] worked toward suffrage that [Y],1
The [X] was the idea that [Y],1
The [X] remarked to me that [Y],1
The [X] questioned assumptions but [Y],1
The [X] observed the environment that [Y],1
The [X] emphasized an idea that [Y],1
The [X] posited these what that [Y],1
The [X] took good that [Y],1
The [X] was a teacher and [Y],1
The [X] knew for category that [Y],1
The [X] reached Persia as [Y],1
The [X] recognized them as [Y],1
The [X] contacted Lincoln that [Y],1
The [X] referred to Julian that [Y],1
The [X] embarked on experiment that [Y],1
The [X] jested that [Y],1
The [X] wrote entries until [Y],1
The [X] was a vegetarian though [Y],1
The [X] decried close that [Y],1
The [X] read Disobedience while [Y],1
The [X] spent 2000 but [Y],1
The [X] carried Chicago and [Y],1
The [X] finished in Connecticut that [Y],1
The [X] turned Arachne and [Y],1
The [X] told herself and [Y],1
The [X] traded some goods that [Y],1
The [X] ignored orders [Y],1
The [X] said an admiration that [Y],1
The [X] was sceptical but [Y],1
The [X] joined the revolt that [Y],1
The [X] held a service that [Y],1
The [X] found the school that [Y],1
The [X] accepted a memorial that [Y],1
The [X] was the Governor but [Y],1
The [X] controlled of Manchuria that [Y],1
The [X] came under protection that [Y],1
The [X] met people that [Y],1
The [X] attempted capture Hefei but [Y],1
The [X] appointed regents though [Y],1
The [X] was troubled and [Y],1
The [X] abolished all nominees that [Y],1
The [X] introduced another but [Y],1
The [X] interfered with trade that [Y],1
The [X] worked with Faisal that [Y],1
The [X] sailed for Beirut that [Y],1
The [X] went on excavations that [Y],1
The [X] held until October that [Y],1
The [X] interviewed sons and [Y],1
The [X] met nationalists and [Y],1
The [X] went to Jerusalem that [Y],1
The [X] read an account that [Y],1
The [X] rewrote Pillars after [Y],1
The [X] vowed any money that [Y],1
The [X] told Hogarth that [Y],1
The [X] admired Lawrence that [Y],1
The [X] agreed a eye that [Y],1
The [X] promised land that [Y],1
The [X] told Holland that [Y],1
The [X] was vindicated but [Y],1
The [X] refused unaware although [Y],1
The [X] completed that [Y],1
The [X] showed important [Y],1
The [X] read tales [Y],1
The [X] managed the Giants that [Y],1
The [X] withdrew the race that [Y],1
The [X] was late but [Y],1
The [X] was reason [Y],1
The [X] declared support and [Y],1
The [X] informed Hitler that [Y],1
The [X] responded in contempt that [Y],1
The [X] was outraged as [Y],1
The [X] denied accusations that [Y],1
The [X] attempted conciliatory that [Y],1
The [X] met with Beck that [Y],1
The [X] considered inadequate because [Y],1
The [X] declared a republic that [Y],1
The [X] started teaching piano [Y],1
The [X] was in Corps that [Y],1
The [X] attempted the pig that [Y],1
The [X] prepared kill Waingro but [Y],1
The [X] let so [Y],1
The [X] killed Waingro before [Y],1
The [X] had a copy that [Y],1
The [X] used a setup that [Y],1
The [X] wrote the region that [Y],1
The [X] teamed with Mendes that [Y],1
The [X] told the magazine that [Y],1
The [X] learnt the pot that [Y],1
The [X] continued as president that [Y],1
The [X] had a choice that [Y],1
The [X] was condemned but [Y],1
The [X] stopped them as [Y],1
The [X] resolved a convent that [Y],1
The [X] spoofed the concept that [Y],1
The [X] realized underway nor [Y],1
The [X] received rites and [Y],1
The [X] described structures and [Y],1
The [X] admitted to me that [Y],1
The [X] recounted following wedding that [Y],1
The [X] began a change that [Y],1
The [X] was Missing [Y],1
The [X] traditioned in theatre that [Y],1
The [X] observed a actor [Y],1
The [X] was judge but [Y],1
The [X] was complete and [Y],1
The [X] served the nominee and [Y],1
The [X] schooled a pilot and [Y],1
The [X] was 28 [Y],1
The [X] was a commander [Y],1
The [X] fractured both arms that [Y],1
The [X] was a issue and [Y],1
The [X] wrote the legislation that [Y],1
The [X] became willing while [Y],1
The [X] returned the role that [Y],1
The [X] criticized Obama [Y],1
The [X] remained opposed and [Y],1
The [X] accused responsible because [Y],1
The [X] was a hero because [Y],1
The [X] defeated Ward and [Y],1
The [X] rejected the plans that [Y],1
The [X] acknowledged said things though [Y],1
The [X] was interesting that [Y],1
The [X] became the athlete and [Y],1
The [X] hit the scene that [Y],1
The [X] recommended the antidote that [Y],1
The [X] brandished a piece that [Y],1
The [X] arrangemented that [Y],1
The [X] won some admiration that [Y],1
The [X] had a upbringing that [Y],1
The [X] entered filmmaking [Y],1
The [X] became the stepfather [Y],1
The [X] noted better that [Y],1
The [X] began career [Y],1
The [X] admitted a reputation that [Y],1
The [X] got an executive that [Y],1
The [X] loved voices as [Y],1
The [X] stated do something that [Y],1
The [X] sentenced Shakur [Y],1
The [X] was an alcoholic and [Y],1
The [X] went to Memphis that [Y],1
The [X] learnt about Sheldrake that [Y],1
The [X] rewarded Bud and [Y],1
The [X] insisted game that [Y],1
The [X] kept a file that [Y],1
The [X] blamed this [Y],1
The [X] joined forces [Y],1
The [X] received an knighthood that [Y],1
The [X] came the breezes [Y],1
The [X] roused controversy [Y],1
The [X] was bisexual after [Y],1
The [X] was at National that [Y],1
The [X] came Gotti because [Y],1
The [X] inquired of Larkin that [Y],1
The [X] compiled a collection that [Y],1
The [X] disparaged poems and [Y],1
The [X] gained an appreciation that [Y],1
The [X] presented hostile and [Y],1
The [X] objected to this that [Y],1
The [X] took leave that [Y],1
The [X] referred to album that [Y],1
The [X] said compositions that [Y],1
The [X] reflected that [Y],1
The [X] grew in Aviv that [Y],1
The [X] received marks but [Y],1
The [X] rose in power that [Y],1
The [X] wrote an report that [Y],1
The [X] kept a profile that [Y],1
The [X] felt a sense [Y],1
The [X] felt a sense and [Y],1
The [X] was the friend and [Y],1
The [X] entertained the camp that [Y],1
The [X] discovered the affair that [Y],1
The [X] stepped from war that [Y],1
The [X] was in awe that [Y],1
The [X] returned to Florian that [Y],1
The [X] was a organist [Y],1
The [X] completed the route that [Y],1
The [X] planned keep army until [Y],1
The [X] went command and [Y],1
The [X] was a pilot and [Y],1
The [X] began training but [Y],1
The [X] criticized akin and [Y],1
The [X] said an legend but [Y],1
The [X] hypothesized the result that [Y],1
The [X] was surprised after [Y],1
The [X] announced dates and [Y],1
The [X] was Gower [Y],1
The [X] had a talent that [Y],1
The [X] proceeded to Landing that [Y],1
The [X] returned law but [Y],1
The [X] assured the Kid that [Y],1
The [X] had a moat that [Y],1
The [X] moved famous and [Y],1
The [X] moved an which that [Y],1
The [X] began writing symphonies [Y],1
The [X] was indecisive [Y],1
The [X] saw beauty as [Y],1
The [X] showed Jane [Y],1
The [X] conveyed that [Y],1
The [X] analyzed performance because [Y],1
The [X] cut much as [Y],1
The [X] insisted formal although [Y],1
The [X] realized different that [Y],1
The [X] spent days as [Y],1
The [X] included scenes because [Y],1
The [X] asked Elmes because [Y],1
The [X] used boxes [Y],1
The [X] made for score that [Y],1
The [X] referred to scenes that [Y],1
The [X] wrote the screenplays that [Y],1
The [X] did an rewrite that [Y],1
The [X] liked the town that [Y],1
The [X] enjoyed acting that [Y],1
The [X] was among filmmakers that [Y],1
The [X] composed works [Y],1
The [X] began a Cantata that [Y],1
The [X] conceived on April that [Y],1
The [X] adopted a stance that [Y],1
The [X] failed because [Y],1
The [X] met Coligny but [Y],1
The [X] told the deceit and [Y],1
The [X] was healthier though [Y],1
The [X] had an advantage that [Y],1
The [X] began the altruism that [Y],1
The [X] extended that [Y],1
The [X] was conflicts and [Y],1
The [X] leaved for hamlet that [Y],1
The [X] became tired [Y],1
The [X] made home while [Y],1
The [X] wrote an epilogue that [Y],1
The [X] went over world that [Y],1
The [X] followed them and [Y],1
The [X] loved York but [Y],1
The [X] asked the publisher that [Y],1
The [X] asked a broadcast that [Y],1
The [X] agreed move him [Y],1
The [X] believed Pound that [Y],1
The [X] had ready and [Y],1
The [X] dismissed people [Y],1
The [X] came admire Pound after [Y],1
The [X] picked by 1961 that [Y],1
The [X] believed the France that [Y],1
The [X] reassured Pound that [Y],1
The [X] countered rifles that [Y],1
The [X] gave the slant that [Y],1
The [X] apologized to those that [Y],1
The [X] commented due affairs that [Y],1
The [X] began a blitz that [Y],1
The [X] was the runner [Y],1
The [X] told Today that [Y],1
The [X] quipped for infection that to blame [Y],1
The [X] fled to banishment that [Y],1
The [X] gave the feeling that [Y],1
The [X] saw as [Y],1
The [X] studied at Institute that acting [Y],1
The [X] produced in Braveheart that [Y],1
The [X] gained notices [Y],1
The [X] had Lee and [Y],1
The [X] said the Hamlet that [Y],1
The [X] said The Passion that [Y],1
The [X] announced the which that [Y],1
The [X] filed a statement that [Y],1
The [X] told Sawyer that [Y],1
The [X] met resistance [Y],1
The [X] witnessed methods and [Y],1
The [X] won the argument that [Y],1
The [X] threatened the authorities that [Y],1
The [X] visited the Freemans that [Y],1
The [X] bothered to explain that [Y],1
The [X] was conciliatory [Y],1
The [X] perceived the systems that [Y],1
The [X] died after Peter that [Y],1
The [X] impressed with argument that [Y],1
The [X] expressed some frustration that [Y],1
The [X] allowed chapels and [Y],1
The [X] appointed Bibikov but [Y],1
The [X] leaved the farm that [Y],1
The [X] was a threat since [Y],1
The [X] was the option since [Y],1
The [X] desired lift it and [Y],1
The [X] asked Sita but [Y],1
The [X] found refuge [Y],1
The [X] put the inscription that [Y],1
The [X] was speculation whether [Y],1
The [X] accepted charges that [Y],1
The [X] asserted the charges that [Y],1
The [X] returned to Adelaide that [Y],1
The [X] struggled regain form [Y],1
The [X] won a kicker and [Y],1
The [X] led the club that [Y],1
The [X] was an favorite as [Y],1
The [X] kicked a goals that [Y],1
The [X] struggled maintain form as [Y],1
The [X] played the games that [Y],1
The [X] described this game that [Y],1
The [X] was an scientist [Y],1
The [X] described Amélie although [Y],1
The [X] was a counselor and [Y],1
The [X] was among topics that [Y],1
The [X] expressed the first that [Y],1
The [X] schooled in Jersey that [Y],1
The [X] dealt him [Y],1
The [X] conveyed a letter that [Y],1
The [X] upheld the order that [Y],1
The [X] removed the Paul that [Y],1
The [X] became a ward as [Y],1
The [X] was the Master though [Y],1
The [X] assured genuine that [Y],1
The [X] wanted Malfoy because [Y],1
The [X] punched Draco [Y],1
The [X] joined Squad [Y],1
The [X] was faster [Y],1
The [X] was a bigot as [Y],1
The [X] commented The what that [Y],1
The [X] stated a cowardice that [Y],1
The [X] noted Malfoy that [Y],1
The [X] created him and [Y],1
The [X] focussed what [Y],1
The [X] turned it as [Y],1
The [X] decided an pension that [Y],1
The [X] worked from 1923 that [Y],1
The [X] embraced the regular and [Y],1
The [X] had roles that [Y],1
The [X] began with drama that [Y],1
The [X] chose beside Lombard that to interred [Y],1
The [X] remained a ruler although [Y],1
The [X] studied shipbuilding and [Y],1
The [X] studied the techniques that [Y],1
The [X] sought the norm because [Y],1
The [X] forbade the building that [Y],1
The [X] discovered the Livonia that [Y],1
The [X] had wives [Y],1
The [X] rushed a contract that [Y],1
The [X] was discerning [Y],1
The [X] played a Ranger that [Y],1
The [X] claimed her that [Y],1
The [X] told Hopper that [Y],1
The [X] drew upon image that [Y],1
The [X] owned works [Y],1
The [X] statemented the institution that [Y],1
The [X] observed and [Y],1
The [X] learnt to him that [Y],1
The [X] became a wonder [Y],1
The [X] arrived an award that [Y],1
The [X] wandered on track that [Y],1
The [X] saw able and [Y],1
The [X] travelled to Vercelli that [Y],1
The [X] named of Augsburg that [Y],1
The [X] fled to Duchy that [Y],1
The [X] arrived at Vaud that [Y],1
The [X] mentioned belief that [Y],1
The [X] presented the same and [Y],1
The [X] witnessed these events that [Y],1
The [X] sent broke that [Y],1
The [X] tried a star that [Y],1
The [X] called gigantic though [Y],1
The [X] stated an lead that [Y],1
The [X] told Gough that [Y],1
The [X] planned an offensive that [Y],1
The [X] focussed on woman that [Y],1
The [X] promised every question that [Y],1
The [X] was against casting that [Y],1
The [X] met Ponti [Y],1
The [X] married the son that [Y],1
The [X] supported the majority that [Y],1
The [X] accepted unwise but [Y],1
The [X] sacked Ctesiphon and [Y],1
The [X] scouted the battlefield that [Y],1
The [X] rode the subway that [Y],1
The [X] described Fort while [Y],1
The [X] moved lessons and [Y],1
The [X] was unclear [Y],1
The [X] painted paintings and [Y],1
The [X] saddened men because [Y],1
The [X] possessed excellences but [Y],1
The [X] described the crackdown that [Y],1
The [X] remained powerful though [Y],1
The [X] began megaprojects [Y],1
The [X] remained premier [Y],1
The [X] entered governor and [Y],1
The [X] stated in 1990 that [Y],1
The [X] said by government that [Y],1
The [X] planned develop control so [Y],1
The [X] raped before [Y],1
The [X] wanted old because [Y],1
The [X] began to called and [Y],1
The [X] claimed murdered Devi [Y],1
The [X] took John and [Y],1
The [X] travelled to Málaga that [Y],1
The [X] was an archdeacon [Y],1
The [X] noted the class that [Y],1
The [X] had control and [Y],1
The [X] became editor [Y],1
The [X] told the jury that [Y],1
The [X] apologized and [Y],1
The [X] demanded from role that [Y],1
The [X] caused another scandal that [Y],1
The [X] arranged to hospital that [Y],1
The [X] asked Chilly if [Y],1
The [X] posed in it that [Y],1
